"GoId","Aspect"
"GO:0010666","P"
"GO:0043504","P"
"GO:0048539","P"
"GO:0061419","P"
"GO:0062100","P"
"GO:0070245","P"
"GO:0071494","P"
"GO:0072363","P"
"GO:0072717","P"
"GO:0090200","P"
"GO:0090403","P"
"GO:0097371","F"
"GO:0097718","F"
"GO:1900119","P"
"GO:1900740","P"
"GO:1903799","P"
"GO:1903800","P"
"GO:1904024","P"
"GO:1990440","P"
"GO:0001554","P"
"GO:0021589","P"
"GO:0031204","P"
"GO:0035437","P"
"GO:0051787","F"
"GO:0060904","P"
"GO:0090074","P"
"GO:1903895","P"
"GO:1904313","P"
"GO:0044183","F"
"GO:0051085","P"
"GO:0043027","F"
"GO:0004711","F"
"GO:0007253","P"
"GO:0008139","F"
"GO:0010875","P"
"GO:0008656","F"
"GO:0016540","P"
"GO:0050700","F"
"GO:0072558","C"
"GO:0072559","C"
"GO:0097169","C"
"GO:1903265","P"
"GO:0097199","F"
"GO:0007413","P"
"GO:0016005","F"
"GO:0030889","P"
"GO:0046007","P"
"GO:0061713","P"
"GO:0072734","P"
"GO:0097200","F"
"GO:0015671","P"
"GO:0045656","P"
"GO:0090096","P"
"GO:1905643","P"
"GO:0000701","F"
"GO:0006287","P"
"GO:0032405","F"
"GO:0043626","C"
"GO:0070182","F"
"GO:0070987","P"
"GO:1902990","P"
"GO:0030337","F"
"GO:0006272","P"
"GO:0003680","F"
"GO:0019896","P"
"GO:0031116","P"
"GO:0034452","F"
"GO:0045298","C"
"GO:0048312","P"
"GO:0090258","P"
"GO:0097418","C"
"GO:0099077","F"
"GO:0099609","F"
"GO:1904115","C"
"GO:1905689","P"
"GO:0015420","F"
"GO:0015431","F"
"GO:0015889","P"
"GO:0071716","P"
"GO:0034775","P"
"GO:0034634","F"
"GO:1904724","C"
"GO:0019864","F"
"GO:0070402","F"
"GO:0008239","F"
"GO:0010716","P"
"GO:0031258","C"
"GO:0035641","P"
"GO:0016404","F"
"GO:0031088","C"
"GO:0034752","C"
"GO:1904613","P"
"GO:0016934","F"
"GO:0030977","F"
"GO:0051970","P"
"GO:0060012","P"
"GO:0060013","P"
"GO:0060077","C"
"GO:0098690","C"
"GO:0021562","P"
"GO:0021771","P"
"GO:0042320","P"
"GO:0045759","P"
"GO:0002223","P"
"GO:0002479","P"
"GO:0005782","C"
"GO:0008379","F"
"GO:0045454","P"
"GO:0003886","F"
"GO:0008327","F"
"GO:0010216","P"
"GO:0043045","P"
"GO:0051571","P"
"GO:0090116","P"
"GO:1905460","P"
"GO:1905931","P"
"GO:0004126","F"
"GO:0009972","P"
"GO:1904813","C"
"GO:0004422","F"
"GO:0006178","P"
"GO:0046038","P"
"GO:0052657","F"
"GO:0032263","P"
"GO:0008119","F"
"GO:1904047","F"
"GO:0004769","F"
"GO:0018916","P"
"GO:0045171","C"
"GO:0070458","P"
"GO:0010592","P"
"GO:0032587","C"
"GO:0032707","P"
"GO:0035025","P"
"GO:0035774","P"
"GO:0050690","P"
"GO:0051022","F"
"GO:0051496","P"
"GO:0051894","P"
"GO:0055038","C"
"GO:0071526","P"
"GO:0090023","P"
"GO:1900026","P"
"GO:0008045","P"
"GO:0016601","P"
"GO:0003865","F"
"GO:0006702","P"
"GO:0009917","F"
"GO:0030283","F"
"GO:0047751","F"
"GO:0004503","F"
"GO:0006583","P"
"GO:0006726","P"
"GO:0033162","C"
"GO:0006707","P"
"GO:0030573","P"
"GO:0047787","F"
"GO:0004965","F"
"GO:0038039","C"
"GO:0008022","F"
"GO:0004051","F"
"GO:0016363","C"
"GO:0008240","F"
"GO:0008241","F"
"GO:0031434","F"
"GO:0031711","F"
"GO:0060177","P"
"GO:0070573","F"
"GO:1900086","P"
"GO:1903597","P"
"GO:2000170","P"
"GO:0004489","F"
"GO:0033274","P"
"GO:0035999","P"
"GO:0046655","P"
"GO:0070829","P"
"GO:0005427","F"
"GO:0015333","F"
"GO:0071916","F"
"GO:1990961","P"
"GO:0008511","F"
"GO:0030007","P"
"GO:0034465","P"
"GO:0045794","P"
"GO:0060072","F"
"GO:0001518","C"
"GO:0071439","C"
"GO:0004771","F"
"GO:0047374","F"
"GO:0051791","P"
"GO:0080030","F"
"GO:0090122","P"
"GO:0004806","F"
"GO:0003360","P"
"GO:0014894","P"
"GO:0017134","F"
"GO:0060373","P"
"GO:0086047","P"
"GO:0086060","F"
"GO:0086061","F"
"GO:0086062","F"
"GO:0086063","F"
"GO:0003420","P"
"GO:0003958","F"
"GO:0004128","F"
"GO:0008941","F"
"GO:0032332","P"
"GO:0043602","P"
"GO:0045880","P"
"GO:0046210","P"
"GO:0047726","F"
"GO:0071372","P"
"GO:0090031","P"
"GO:0010181","F"
"GO:0005391","F"
"GO:0005890","C"
"GO:0030955","F"
"GO:0031402","F"
"GO:1903416","P"
"GO:0006349","P"
"GO:0034236","F"
"GO:0034237","F"
"GO:0014883","P"
"GO:0031014","F"
"GO:0005513","P"
"GO:0007223","P"
"GO:0010801","P"
"GO:0010856","F"
"GO:0019855","F"
"GO:0022400","P"
"GO:0031432","F"
"GO:0031997","F"
"GO:0032516","P"
"GO:0043539","F"
"GO:0051343","P"
"GO:0060315","P"
"GO:0060316","P"
"GO:0075206","P"
"GO:0004117","F"
"GO:0048101","F"
"GO:0046069","P"
"GO:0004958","F"
"GO:0071799","P"
"GO:0120061","P"
"GO:0004957","F"
"GO:0060455","P"
"GO:0001758","F"
"GO:0004745","F"
"GO:0016488","P"
"GO:0035410","F"
"GO:0036130","F"
"GO:0036131","F"
"GO:0045550","F"
"GO:0045703","F"
"GO:0047017","F"
"GO:0047020","F"
"GO:0047035","F"
"GO:0047045","F"
"GO:0052650","F"
"GO:1900053","P"
"GO:2000224","P"
"GO:2000353","P"
"GO:0003910","F"
"GO:0004298","F"
"GO:0031145","P"
"GO:0031146","P"
"GO:1902036","P"
"GO:0010499","P"
"GO:0014826","P"
"GO:0031702","F"
"GO:0060406","P"
